,tissue_annotations
cell_00216,Immune
cell_00217,Stroma
cell_00218,Tumor
cell_00219,Stroma
cell_00220,Stroma
cell_00221,Tumor
cell_00222,Stroma
cell_00223,Stroma
cell_00224,Stroma
cell_00225,Stroma
cell_00226,Stroma
cell_00227,Immune
cell_00228,Immune
cell_00229,Stroma
cell_00230,Immune
cell_00231,Immune
cell_00232,Immune
cell_00233,Tumor
cell_00234,Tumor
cell_00235,Tumor
cell_00236,Immune
cell_00237,Stroma
cell_00238,Immune
cell_00239,Stroma
cell_00240,Stroma
cell_00241,Immune
cell_00242,Stroma
cell_00243,Stroma
cell_00244,Stroma
cell_00245,Stroma
cell_00246,Stroma
cell_00247,Stroma
cell_00248,Stroma
cell_00249,Stroma
cell_00250,Stroma
cell_00251,Stroma
cell_00252,Stroma
cell_00253,Stroma
cell_00254,Tumor
cell_00255,Stroma
cell_00256,Immune
cell_00257,Tumor
cell_00258,Immune
cell_00259,Stroma
cell_00260,Stroma
cell_00261,Stroma
cell_00262,Stroma
cell_00263,Immune
cell_00264,Stroma
cell_00265,Immune
cell_00266,Tumor
cell_00267,Stroma
cell_00268,Tumor
cell_00269,Tumor
cell_00270,Stroma
cell_00271,Stroma
cell_00272,Tumor
cell_00273,Stroma
cell_00274,Stroma
cell_00275,Tumor
cell_00276,Stroma
cell_00277,Immune
cell_00278,Stroma
cell_00279,Stroma
cell_00280,Immune
cell_00281,Stroma
cell_00282,Stroma
cell_00283,Stroma
cell_00284,Immune
cell_00285,Immune
cell_00286,Tumor
cell_00287,Tumor
cell_00288,Immune
cell_00289,Stroma
cell_00290,Stroma
cell_00291,Tumor
cell_00292,Stroma
cell_00293,Stroma
cell_00294,Immune
cell_00295,Immune
cell_00296,Stroma
cell_00297,Immune
cell_00298,Immune
cell_00299,Stroma
cell_00300,Stroma
cell_00301,Tumor
cell_00302,Stroma
cell_00303,Stroma
cell_00304,Tumor
cell_00305,Stroma
cell_00306,Stroma
cell_00307,Stroma
cell_00308,Stroma
cell_00309,Tumor
cell_00310,Tumor
cell_00311,Immune
cell_00312,Stroma
cell_00313,Immune
cell_00314,Stroma
cell_00315,Stroma
cell_00316,Immune
cell_00317,Stroma
cell_00318,Stroma
cell_00319,Stroma
cell_00320,Immune
cell_00321,Immune
cell_00322,Stroma
cell_00323,Immune
cell_00324,Immune
cell_00325,Tumor
cell_00326,Immune
cell_00327,Immune
cell_00328,Stroma
cell_00329,Stroma
cell_00330,Stroma
cell_00331,Stroma
cell_00332,Stroma
cell_00333,Immune
cell_00334,Stroma
cell_00335,Stroma
cell_00336,Immune
cell_00337,Stroma
cell_00338,Stroma
cell_00339,Immune
cell_00340,Stroma
cell_00341,Immune
cell_00342,Stroma
cell_00343,Stroma
cell_00344,Stroma
cell_00345,Immune
cell_00346,Stroma
cell_00347,Tumor
cell_00348,Immune
cell_00349,Immune
cell_00350,Immune
cell_00351,Tumor
cell_00352,Immune
cell_00353,Stroma
cell_00354,Stroma
cell_00355,Stroma
cell_00356,Stroma
cell_00357,Stroma
cell_00358,Tumor
cell_00359,Immune
cell_00360,Stroma
cell_00361,Immune
cell_00362,Stroma
cell_00363,Tumor
cell_00364,Stroma
cell_00365,Stroma
cell_00366,Immune
cell_00367,Stroma
cell_00368,Stroma
cell_00369,Stroma
cell_00370,Stroma
cell_00371,Stroma
cell_00372,Stroma
cell_00373,Stroma
cell_00374,Stroma
cell_00375,Immune
cell_00376,Immune
cell_00377,Immune
cell_00378,Immune
cell_00379,Stroma
cell_00380,Immune
cell_00381,Immune
cell_00382,Immune
cell_00383,Immune
cell_00384,Immune
cell_00385,Immune
cell_00386,Immune
cell_00387,Immune
cell_00388,Stroma
cell_00389,Immune
cell_00390,Immune
cell_00391,Stroma
cell_00392,Immune
cell_00393,Immune
cell_00394,Stroma
cell_00395,Stroma
cell_00396,Immune
cell_00397,Immune
cell_00398,Immune
cell_00399,Immune
cell_00400,Immune
cell_00401,Immune
cell_00402,Stroma
cell_00403,Stroma
cell_00404,Immune
cell_00405,Immune
cell_00406,Immune
cell_00407,Immune
cell_00408,Immune
cell_00409,Immune
cell_00410,Immune
cell_00411,Immune
cell_00412,Immune
cell_00413,Immune
cell_00414,Stroma
cell_00415,Immune
cell_00416,Immune
cell_00417,Tumor
cell_00418,Tumor
cell_00419,Immune
cell_00420,Immune
cell_00421,Immune
cell_00422,Stroma
cell_00423,Immune
cell_00424,Immune
cell_00425,Immune
cell_00426,Immune
cell_00427,Immune
cell_00428,Stroma
cell_00429,Tumor
cell_00430,Immune
cell_00431,Immune
cell_00432,Immune
cell_00433,Immune
cell_00434,Stroma
cell_00435,Stroma
cell_00436,Stroma
cell_00437,Immune
cell_00438,Immune
cell_00439,Immune
cell_00440,Stroma
cell_00441,Immune
cell_00442,Immune
cell_00443,Immune
cell_00444,Immune
cell_00445,Immune
cell_00446,Immune
cell_00447,Immune
cell_00448,Stroma
cell_00449,Stroma
cell_00450,Stroma
cell_00451,Immune
cell_00452,Immune
cell_00453,Stroma
cell_00454,Stroma
cell_00455,Immune
cell_00456,Immune
cell_00457,Immune
cell_00458,Stroma
cell_00459,Immune
cell_00460,Immune
cell_00461,Stroma
cell_00462,Immune
cell_00463,Immune
cell_00464,Immune
cell_00465,Immune
cell_00466,Immune
cell_00467,Immune
cell_00468,Stroma
cell_00469,Immune
cell_00470,Immune
cell_00471,Immune
cell_00472,Stroma
cell_00473,Stroma
cell_00474,Immune
cell_00475,Immune
cell_00476,Immune
cell_00477,Immune
cell_00478,Immune
cell_00479,Stroma
cell_00480,Immune
cell_00481,Immune
cell_00482,Immune
cell_00483,Immune
cell_00484,Stroma
cell_00485,Immune
cell_00486,Immune
cell_00487,Stroma
cell_00488,Immune
cell_00489,Immune
cell_00490,Immune
cell_00491,Immune
cell_00492,Immune
cell_00493,Stroma
cell_00494,Immune
cell_00495,Immune
cell_00496,Immune
cell_00497,Immune
cell_00498,Stroma
cell_00499,Immune
cell_00500,Tumor
cell_00501,Tumor
cell_00502,Tumor
cell_00503,Stroma
cell_00504,Stroma
cell_00505,Stroma
cell_00506,Stroma
cell_00507,Tumor
cell_00508,Stroma
cell_00509,Immune
cell_00510,Immune
cell_00511,Tumor
cell_00512,Immune
cell_00513,Immune
cell_00514,Stroma
cell_00515,Stroma
cell_00516,Immune
cell_00517,Stroma
cell_00518,Immune
cell_00519,Stroma
cell_00520,Stroma
cell_00521,Stroma
cell_00522,Immune
cell_00523,Stroma
cell_00524,Immune
cell_00525,Stroma
cell_00526,Tumor
cell_00527,Tumor
cell_00528,Tumor
cell_00529,Stroma
cell_00530,Stroma
cell_00531,Stroma
cell_00532,Stroma
cell_00533,Stroma
cell_00534,Immune
cell_00535,Stroma
cell_00536,Stroma
cell_00537,Immune
cell_00538,Immune
cell_00539,Tumor
cell_00540,Immune
cell_00541,Stroma
cell_00542,Stroma
cell_00543,Tumor
cell_00544,Immune
cell_00545,Stroma
cell_00546,Stroma
cell_00547,Immune
cell_00548,Stroma
cell_00549,Stroma
cell_00550,Stroma
cell_00551,Immune
cell_00552,Stroma
cell_00553,Tumor
cell_00554,Immune
cell_00555,Stroma
cell_00556,Immune
cell_00557,Stroma
cell_00558,Stroma
cell_00559,Stroma
cell_00560,Immune
cell_00561,Stroma
cell_00562,Tumor
cell_00563,Stroma
cell_00564,Stroma
cell_00565,Stroma
cell_00566,Stroma
cell_00567,Tumor
cell_00568,Stroma
cell_00569,Stroma
cell_00570,Immune
cell_00571,Tumor
cell_00572,Stroma
cell_00573,Tumor
cell_00574,Tumor
cell_00575,Stroma
cell_00576,Tumor
cell_00577,Stroma
cell_00578,Stroma
cell_00579,Stroma
cell_00580,Stroma
cell_00581,Stroma
cell_00582,Immune
cell_00583,Stroma
cell_00584,Stroma
cell_00585,Stroma
cell_00586,Immune
cell_00587,Immune
cell_00588,Immune
cell_00589,Immune
cell_00590,Tumor
cell_00591,Stroma
cell_00592,Stroma
cell_00593,Stroma
cell_00594,Immune
cell_00595,Stroma
cell_00596,Stroma
cell_00597,Stroma
cell_00598,Tumor
cell_00599,Stroma
cell_00600,Stroma
cell_00601,Tumor
cell_00602,Tumor
cell_00603,Stroma
cell_00604,Stroma
cell_00605,Stroma
cell_00606,Tumor
cell_00607,Immune
cell_00608,Stroma
cell_00609,Stroma
cell_00610,Stroma
cell_00611,Stroma
cell_00612,Tumor
cell_00613,Tumor
cell_00614,Immune
cell_00615,Stroma
cell_00616,Stroma
cell_00617,Stroma
cell_00618,Immune
cell_00619,Immune
cell_00620,Tumor
cell_00621,Stroma
cell_00622,Tumor
cell_00623,Stroma
cell_00624,Tumor
cell_00625,Tumor
cell_00626,Tumor
cell_00627,Tumor
cell_00628,Tumor
cell_00629,Tumor
cell_00630,Tumor
cell_00631,Tumor
cell_00632,Tumor
cell_00633,Tumor
cell_00634,Tumor
cell_00635,Tumor
cell_00636,Tumor
cell_00637,Tumor
cell_00638,Tumor
cell_00639,Tumor
cell_00640,Tumor
cell_00641,Tumor
cell_00642,Tumor
cell_00643,Stroma
cell_00644,Tumor
cell_00645,Tumor
cell_00646,Tumor
cell_00647,Tumor
cell_00648,Tumor
cell_00649,Tumor
cell_00650,Tumor
cell_00651,Tumor
cell_00652,Tumor
cell_00653,Tumor
cell_00654,Tumor
cell_00655,Tumor
cell_00656,Tumor
cell_00657,Tumor
cell_00658,Tumor
cell_00659,Tumor
cell_00660,Tumor
cell_00661,Tumor
cell_00662,Tumor
cell_00663,Tumor
cell_00664,Tumor
cell_00665,Tumor
cell_00666,Tumor
cell_00667,Tumor
cell_00668,Tumor
cell_00669,Tumor
cell_00670,Tumor
cell_00671,Tumor
cell_00672,Tumor
cell_00673,Tumor
cell_00674,Tumor
cell_00675,Tumor
cell_00676,Tumor
cell_00677,Tumor
cell_00678,Tumor
cell_00679,Tumor
cell_00680,Tumor
cell_00681,Immune
cell_00682,Stroma
cell_00683,Tumor
cell_00684,Tumor
cell_00685,Tumor
cell_00686,Tumor
cell_00687,Tumor
cell_00688,Tumor
cell_00689,Tumor
cell_00690,Tumor
cell_00691,Tumor
cell_00692,Tumor
cell_00693,Tumor
cell_00694,Tumor
cell_00695,Tumor
cell_00696,Tumor
cell_00697,Tumor
cell_00698,Tumor
cell_00699,Tumor
cell_00700,Tumor
cell_00701,Tumor
cell_00702,Tumor
cell_00703,Tumor
cell_00704,Tumor
cell_00705,Tumor
cell_00706,Tumor
cell_00707,Tumor
cell_00708,Tumor
cell_00709,Tumor
cell_00710,Tumor
cell_00711,Tumor
cell_00712,Tumor
cell_00713,Tumor
cell_00714,Tumor
cell_00715,Tumor
cell_00716,Tumor
cell_00717,Tumor
cell_00718,Tumor
cell_00719,Tumor
cell_00720,Tumor
cell_00721,Tumor
cell_00722,Tumor
cell_00723,Tumor
cell_00724,Tumor
cell_00725,Tumor
cell_00726,Tumor
cell_00727,Tumor
cell_00728,Tumor
cell_00729,Tumor
cell_00730,Tumor
cell_00731,Tumor
cell_00732,Tumor
cell_00733,Tumor
cell_00734,Tumor
cell_00735,Tumor
cell_00736,Tumor
cell_00737,Stroma
cell_00738,Tumor
cell_00739,Tumor
cell_00740,Stroma
cell_00741,Tumor
cell_00742,Tumor
cell_00743,Tumor
cell_00744,Tumor
cell_00745,Immune
cell_00746,Tumor
cell_00747,Tumor
cell_00748,Tumor
cell_00749,Tumor
cell_00750,Tumor
cell_00751,Tumor
cell_00752,Tumor
cell_00753,Tumor
cell_00754,Tumor
cell_00755,Tumor
cell_00756,Tumor
cell_00757,Tumor
cell_00758,Tumor
cell_00759,Tumor
cell_00760,Tumor
cell_00761,Tumor
cell_00762,Tumor
cell_00763,Tumor
cell_00764,Stroma
cell_00765,Tumor
cell_00766,Tumor
cell_00767,Tumor
cell_00768,Tumor
cell_00769,Tumor
cell_00770,Tumor
cell_00771,Tumor
cell_00772,Stroma
cell_00773,Tumor
cell_00774,Tumor
cell_00775,Tumor
cell_00776,Tumor
cell_00777,Tumor
cell_00778,Tumor
cell_00779,Tumor
cell_00780,Tumor
cell_00781,Tumor
cell_00782,Tumor
cell_00783,Tumor
cell_00784,Tumor
cell_00785,Tumor
cell_00786,Tumor
cell_00787,Tumor
cell_00788,Tumor
cell_00789,Tumor
cell_00790,Tumor
cell_00791,Immune
cell_00792,Tumor
cell_00793,Tumor
cell_00794,Tumor
cell_00795,Tumor
cell_00796,Tumor
cell_00797,Tumor
cell_00798,Tumor
cell_00799,Tumor
cell_00800,Tumor
cell_00801,Tumor
cell_00802,Tumor
cell_00803,Tumor
cell_00804,Tumor
cell_00805,Tumor
cell_00806,Tumor
cell_00807,Tumor
cell_00808,Tumor
cell_00809,Tumor
cell_00810,Tumor
cell_00811,Tumor
cell_00812,Tumor
cell_00813,Tumor
cell_00814,Tumor
cell_00815,Tumor
cell_00816,Tumor
cell_00817,Tumor
cell_00818,Tumor
cell_00819,Tumor
cell_00820,Tumor
cell_00821,Tumor
cell_00822,Tumor
cell_00823,Tumor
cell_00824,Tumor
cell_00825,Tumor
cell_00826,Tumor
cell_00827,Tumor
cell_00828,Tumor
cell_00829,Tumor
cell_00830,Tumor
cell_00831,Tumor
cell_00832,Tumor
cell_00833,Tumor
cell_00834,Tumor
cell_00835,Tumor
cell_00836,Tumor
cell_00837,Immune
cell_00838,Tumor
cell_00839,Tumor
cell_00840,Tumor
cell_00841,Tumor
cell_00842,Tumor
cell_00843,Tumor
cell_00844,Tumor
cell_00845,Tumor
cell_00846,Tumor
cell_00847,Tumor
cell_00848,Tumor
cell_00849,Tumor
cell_00850,Tumor
cell_00851,Tumor
cell_00852,Tumor
cell_00853,Tumor
cell_00854,Tumor
cell_00855,Tumor
cell_00856,Tumor
cell_00857,Tumor
cell_00858,Immune
cell_00859,Tumor
cell_00860,Tumor
cell_00861,Tumor
cell_00862,Tumor
cell_00863,Tumor
cell_00864,Tumor
cell_00865,Tumor
cell_00866,Tumor
cell_00867,Tumor
cell_00868,Tumor
cell_00869,Tumor
cell_00870,Tumor
cell_00871,Tumor
cell_00872,Stroma
cell_00873,Tumor
cell_00874,Tumor
cell_00875,Immune
cell_00876,Stroma
cell_00877,Stroma
cell_00878,Stroma
cell_00879,Immune
cell_00880,Stroma
cell_00881,Stroma
cell_00882,Immune
cell_00883,Stroma
cell_00884,Tumor
cell_00885,Stroma
cell_00886,Stroma
cell_00887,Tumor
cell_00888,Stroma
cell_00889,Immune
cell_00890,Stroma
cell_00891,Immune
cell_00892,Stroma
cell_00893,Tumor
cell_00894,Stroma
cell_00895,Immune
cell_00896,Tumor
cell_00897,Stroma
cell_00898,Tumor
cell_00899,Stroma
cell_00900,Stroma
cell_00901,Tumor
cell_00902,Stroma
cell_00903,Stroma
cell_00904,Immune
cell_00905,Stroma
cell_00906,Stroma
cell_00907,Stroma
cell_00908,Tumor
cell_00909,Stroma
cell_00910,Stroma
cell_00911,Immune
cell_00912,Immune
cell_00913,Immune
cell_00914,Immune
cell_00915,Immune
cell_00916,Stroma
cell_00917,Tumor
cell_00918,Stroma
cell_00919,Stroma
cell_00920,Tumor
cell_00921,Immune
cell_00922,Stroma
cell_00923,Stroma
cell_00924,Stroma
cell_00925,Stroma
cell_00926,Tumor
cell_00927,Immune
cell_00928,Stroma
cell_00929,Stroma
cell_00930,Stroma
cell_00931,Stroma
cell_00932,Stroma
cell_00933,Stroma
cell_00934,Stroma
cell_00935,Stroma
cell_00936,Immune
cell_00937,Stroma
cell_00938,Immune
cell_00939,Stroma
cell_00940,Tumor
cell_00941,Immune
cell_00942,Tumor
cell_00943,Stroma
cell_00944,Stroma
cell_00945,Stroma
cell_00946,Stroma
cell_00947,Immune
cell_00948,Immune
cell_00949,Stroma
cell_00950,Stroma
cell_00951,Tumor
cell_00952,Stroma
cell_00953,Tumor
cell_00954,Immune
cell_00955,Immune
cell_00956,Immune
cell_00957,Stroma
cell_00958,Stroma
cell_00959,Stroma
cell_00960,Stroma
cell_00961,Stroma
cell_00962,Stroma
cell_00963,Tumor
cell_00964,Immune
cell_00965,Immune
cell_00966,Immune
cell_00967,Stroma
cell_00968,Tumor
cell_00969,Stroma
cell_00970,Stroma
cell_00971,Tumor
cell_00972,Stroma
cell_00973,Immune
cell_00974,Stroma
cell_00975,Stroma
cell_00976,Stroma
cell_00977,Stroma
cell_00978,Stroma
cell_00979,Tumor
cell_00980,Immune
cell_00981,Immune
cell_00982,Immune
cell_00983,Stroma
cell_00984,Stroma
cell_00985,Immune
cell_00986,Stroma
cell_00987,Tumor
cell_00988,Stroma
cell_00989,Stroma
cell_00990,Tumor
cell_00991,Stroma
cell_00992,Immune
cell_00993,Tumor
cell_00994,Immune
cell_00995,Stroma
cell_00996,Stroma
cell_00997,Tumor
cell_00998,Immune
cell_00999,Stroma
cell_01000,Immune
cell_01001,Stroma
cell_01002,Immune
cell_01003,Immune
cell_01004,Tumor
cell_01005,Stroma
cell_01006,Tumor
cell_01007,Stroma
cell_01008,Tumor
cell_01009,Stroma
cell_01010,Stroma
cell_01011,Stroma
cell_01012,Stroma
cell_01013,Tumor
cell_01014,Stroma
cell_01015,Immune
cell_01016,Stroma
cell_01017,Tumor
cell_01018,Immune
cell_01019,Stroma
cell_01020,Tumor
cell_01021,Stroma
cell_01022,Tumor
cell_01023,Stroma
cell_01024,Stroma
cell_01025,Stroma
cell_01026,Tumor
cell_01027,Immune
cell_01028,Stroma
cell_01029,Tumor
cell_01030,Tumor
cell_01031,Tumor
cell_01032,Stroma
cell_01033,Tumor
cell_01034,Immune
cell_01035,Stroma
cell_01036,Stroma
cell_01037,Stroma
cell_01038,Stroma
cell_01039,Immune
cell_01040,Immune
cell_01041,Stroma
cell_01042,Stroma
cell_01043,Stroma
cell_01044,Immune
cell_01045,Immune
cell_01046,Immune
cell_01047,Stroma
cell_01048,Stroma
cell_01049,Stroma
cell_01050,Stroma
cell_01051,Immune
cell_01052,Stroma
cell_01053,Immune
cell_01054,Stroma
cell_01055,Stroma
cell_01056,Tumor
cell_01057,Stroma
cell_01058,Stroma
cell_01059,Stroma
cell_01060,Tumor
cell_01061,Stroma
cell_01062,Stroma
cell_01063,Stroma
cell_01064,Stroma
cell_01065,Tumor
cell_01066,Stroma
cell_01067,Stroma
cell_01068,Immune
cell_01069,Stroma
cell_01070,Tumor
cell_01071,Stroma
cell_01072,Stroma
cell_01073,Tumor
cell_01074,Stroma
cell_01075,Immune
cell_01076,Stroma
cell_01077,Stroma
cell_01078,Stroma
cell_01079,Stroma
cell_01080,Stroma
cell_01081,Tumor
cell_01082,Tumor
cell_01083,Stroma
cell_01084,Tumor
cell_01085,Tumor
cell_01086,Tumor
cell_01087,Stroma
cell_01088,Stroma
cell_01089,Stroma
cell_01090,Immune
cell_01091,Stroma
cell_01092,Immune
cell_01093,Immune
cell_01094,Stroma
cell_01095,Stroma
cell_01096,Stroma
cell_01097,Tumor
cell_01098,Tumor
cell_01099,Stroma
cell_01100,Immune
cell_01101,Stroma
cell_01102,Stroma
cell_01103,Stroma
cell_01104,Immune
cell_01105,Stroma
cell_01106,Immune
cell_01107,Stroma
cell_01108,Tumor
cell_01109,Immune
cell_01110,Immune
cell_01111,Stroma
cell_01112,Stroma
cell_01113,Tumor
cell_01114,Tumor
cell_01115,Immune
cell_01116,Immune
cell_01117,Stroma
cell_01118,Stroma
cell_01119,Tumor
cell_01120,Stroma
cell_01121,Immune
cell_01122,Tumor
cell_01123,Immune
cell_01124,Stroma
cell_01125,Tumor
cell_01126,Tumor
cell_01127,Tumor
cell_01128,Tumor
cell_01129,Tumor
cell_01130,Tumor
cell_01131,Tumor
cell_01132,Tumor
cell_01133,Tumor
cell_01134,Tumor
cell_01135,Tumor
cell_01136,Tumor
cell_01137,Stroma
cell_01138,Tumor
cell_01139,Tumor
cell_01140,Tumor
cell_01141,Tumor
cell_01142,Tumor
cell_01143,Tumor
cell_01144,Tumor
cell_01145,Tumor
cell_01146,Tumor
cell_01147,Tumor
cell_01148,Tumor
cell_01149,Tumor
cell_01150,Tumor
cell_01151,Tumor
cell_01152,Tumor
cell_01153,Tumor
cell_01154,Tumor
cell_01155,Immune
cell_01156,Tumor
cell_01157,Tumor
cell_01158,Tumor
cell_01159,Tumor
cell_01160,Stroma
cell_01161,Tumor
cell_01162,Tumor
cell_01163,Tumor
cell_01164,Tumor
cell_01165,Tumor
cell_01166,Tumor
cell_01167,Tumor
cell_01168,Tumor
cell_01169,Tumor
cell_01170,Tumor
cell_01171,Tumor
cell_01172,Tumor
cell_01173,Tumor
cell_01174,Tumor
cell_01175,Immune
cell_01176,Tumor
cell_01177,Immune
cell_01178,Tumor
cell_01179,Tumor
cell_01180,Tumor
cell_01181,Tumor
cell_01182,Immune
cell_01183,Tumor
cell_01184,Tumor
cell_01185,Tumor
cell_01186,Tumor
cell_01187,Tumor
cell_01188,Tumor
cell_01189,Tumor
cell_01190,Tumor
cell_01191,Tumor
cell_01192,Tumor
cell_01193,Tumor
cell_01194,Tumor
cell_01195,Tumor
cell_01196,Tumor
cell_01197,Tumor
cell_01198,Tumor
cell_01199,Tumor
cell_01200,Tumor
cell_01201,Tumor
cell_01202,Tumor
cell_01203,Tumor
cell_01204,Stroma
cell_01205,Tumor
cell_01206,Tumor
cell_01207,Tumor
cell_01208,Tumor
cell_01209,Tumor
cell_01210,Tumor
cell_01211,Tumor
cell_01212,Tumor
cell_01213,Tumor
cell_01214,Tumor
cell_01215,Tumor
cell_01216,Tumor
cell_01217,Tumor
cell_01218,Tumor
cell_01219,Tumor
cell_01220,Tumor
cell_01221,Tumor
cell_01222,Tumor
cell_01223,Tumor
cell_01224,Tumor
cell_01225,Tumor
cell_01226,Tumor
cell_01227,Tumor
cell_01228,Tumor
cell_01229,Tumor
cell_01230,Tumor
cell_01231,Tumor
cell_01232,Tumor
cell_01233,Tumor
cell_01234,Tumor
cell_01235,Tumor
cell_01236,Tumor
cell_01237,Tumor
cell_01238,Tumor
cell_01239,Tumor
cell_01240,Tumor
cell_01241,Tumor
cell_01242,Tumor
cell_01243,Tumor
cell_01244,Tumor
cell_01245,Tumor
cell_01246,Tumor
cell_01247,Tumor
cell_01248,Tumor
cell_01249,Tumor
cell_01250,Tumor
cell_01251,Tumor
cell_01252,Tumor
cell_01253,Tumor
cell_01254,Tumor
cell_01255,Tumor
cell_01256,Tumor
cell_01257,Tumor
cell_01258,Tumor
cell_01259,Tumor
cell_01260,Tumor
cell_01261,Tumor
cell_01262,Tumor
cell_01263,Tumor
cell_01264,Tumor
cell_01265,Immune
cell_01266,Tumor
cell_01267,Tumor
cell_01268,Tumor
cell_01269,Tumor
cell_01270,Stroma
cell_01271,Tumor
cell_01272,Tumor
cell_01273,Tumor
cell_01274,Tumor
cell_01275,Tumor
cell_01276,Tumor
cell_01277,Tumor
cell_01278,Tumor
cell_01279,Tumor
cell_01280,Tumor
cell_01281,Tumor
cell_01282,Tumor
cell_01283,Tumor
cell_01284,Tumor
cell_01285,Tumor
cell_01286,Tumor
cell_01287,Tumor
cell_01288,Tumor
cell_01289,Tumor
cell_01290,Tumor
cell_01291,Tumor
cell_01292,Tumor
cell_01293,Tumor
cell_01294,Tumor
cell_01295,Tumor
cell_01296,Tumor
cell_01297,Tumor
cell_01298,Tumor
cell_01299,Tumor
cell_01300,Tumor
cell_01301,Tumor
cell_01302,Tumor
cell_01303,Tumor
